1,HeadAndNeckSurgery,"Consectetur ut optio quis eveniet. Accusantium soluta sunt molestiae tenetur. Iste aspernatur vel est velit ullam. Rerum tempore ea quo voluptatem. Distinctio dolore qui amet perferendis quia. Ut inventore ea fugit molestias magnam ea. Fugiat nihil aperiam qui itaque. Dolor rem dolorem consequuntur. Omnis rerum culpa inventore. Consequatur voluptas necessitatibus sit ut esse non. Qui laudantium iure.",102,2017-17-17 18:17:49,2020-56-11 01:56:59
2,Gastroenterology,"Quia et deleniti sit. Quia minus voluptas consequatur. Nihil sapiente autem nihil sit porro placeat iure. Dicta doloremque dolores hic maxime vel. Tenetur reiciendis non. Quam quaerat fuga et repellat. Odio reiciendis eveniet laudantium quidem. Aut delectus omnis fugiat perferendis labore dolorem aut. Necessitatibus sapiente odio. Quisquam quia mollitia consectetur.",148,2019-33-18 17:33:23,2020-56-11 01:56:59
3,MedicalGenetics,"Cupiditate quia et consequatur aliquid voluptas facere praesentium. Et repudiandae rerum aspernatur voluptas non dolorem. Quidem quod qui nam. Recusandae non numquam voluptatem rem vel expedita dolores. Molestiae ea aut aspernatur sunt aut et. Quidem libero sit quia sit provident voluptatibus reprehenderit. Ut quis ad in officiis cum. Asperiores deleniti est illum. Fuga velit consequatur sint hic. Quia libero et molestias minima aut rem fugit. Quam fugit est non facere repellendus. Facere veritatis consequatur quae.",157,2015-18-05 20:18:30,2020-56-11 01:56:59
4,Cardiology,"Eaque dolorem impedit exercitationem. Sed iste saepe. Commodi rerum aut est. Odio nobis et incidunt aut doloribus. Tempore modi iure consequatur omnis sit nemo. Omnis vero qui et aliquam vero doloribus. Voluptas commodi voluptas et qui. Qui vero harum reiciendis voluptatum voluptas quia. Enim quo dignissimos repudiandae iste. Quas dolore iste qui voluptatem qui consectetur. Eligendi ut sunt a. Et repellendus praesentium sequi.",157,2015-18-05 20:18:30,2020-56-11 01:56:59
5,CardiovascularSurgery,"Minima dolore dolor. Sequi eos repudiandae exercitationem. Quo modi reiciendis sunt. Pariatur alias nesciunt autem suscipit. Nisi quia ipsam et omnis. Consequatur adipisci molestias. Beatae quam qui. Dolores et fugiat temporibus. Optio cumque dolores illo laboriosam sed aut quis. Eos dolorum explicabo quia et necessitatibus. Ut eaque iure magni alias dignissimos.",135,2017-11-02 01:11:50,2020-56-11 01:56:59
6,PainManagement,"Iure ut iste. Eaque itaque labore et voluptate perferendis eos. Assumenda explicabo sed cum unde ipsa. Sit occaecati nostrum et commodi enim modi a. Facilis ut ea alias id sapiente voluptas dolorum. Quis sequi doloribus. Asperiores blanditiis illo velit necessitatibus fugiat temporibus. Quasi itaque consequatur earum quia accusamus distinctio velit. Omnis laudantium corrupti. Quia doloremque perferendis in rem.",72,2016-18-15 11:18:46,2020-56-11 01:56:59
7,Gastroenterology,"Debitis quam temporibus soluta ipsam est ut voluptates. Blanditiis optio voluptate accusantium voluptas aut neque distinctio. Hic eligendi corrupti est aut commodi harum. Saepe et et cum. Nostrum ab nihil necessitatibus laborum labore dignissimos suscipit. Assumenda aut nulla est eveniet voluptatem. Velit provident eum. Repellendus ut porro nam ratione et omnis mollitia. A soluta alias facere. Pariatur laborum rerum excepturi et quia non debitis. Eum voluptatem sit.",84,2016-02-06 22:02:48,2020-56-11 01:56:59
8,Neurosurgery,"Fugit eaque recusandae vero ratione. Animi beatae vel labore dolores. Consequuntur rerum culpa et. Velit voluptatem repellendus eligendi et. Qui et maiores dolores. Sit ut perspiciatis aliquid rerum vitae. Voluptas totam quod ut. Tenetur alias necessitatibus nisi non facilis saepe. Quod ut fugiat et dolore. Ut reiciendis temporibus.",145,2015-57-17 07:57:49,2020-56-11 01:56:59
9,PalliativeCare,"Nobis fugiat neque. Atque dicta dignissimos. Deleniti excepturi non qui non earum qui eius. Odit error quo ut. Sit ab similique temporibus non repellendus facilis perferendis. Ab et a a quibusdam. Est quia magni consequatur distinctio ut rerum necessitatibus. Porro nam unde nemo officiis. Est ea maiores nesciunt. Aspernatur quis ut maxime et nam.",34,2018-51-26 22:51:46,2020-56-11 01:56:59
10,Orthopedics,"Placeat id dolorem rerum. Illo dolores nesciunt praesentium. Et atque occaecati rerum. Minus sapiente accusantium repudiandae omnis qui. Voluptatum est id. Enim unde cupiditate qui voluptatem vel. Velit quaerat ex ut in non sunt. Consequatur porro tempora qui ut ut et. Cupiditate et voluptatem culpa reiciendis earum quibusdam. Perspiciatis officiis quo.",89,2019-54-30 23:54:29,2020-56-11 01:56:59
